BIL,RENTAL HOUSE ADDRESS,PERIOD OF RENTAL CONTRACT,MONTHLY RENTAL PRICE RATE,DEPOSIT VALUE,TYPE OF HOUSE/ ROOM,PICTURES OF HOUSES/ ROOM,REMARK,"RENTAL STATUS
(VACANT/RENTED)"
1,"ROOM 1
Pantai Hillpark Phase 2 Block 2, Jalan Pantai Murni 1",Minimum 6 months & above,"RM1,100",1.5-month refundable security & utility deposit (RM1650),Room,https://www.youtube.com/shorts/lPDxkRpef-I,"ROOM 1 (6 months)- 
(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Room with attached bathroom and equipped with Air-conditioning & ceiling fan, study table & chair, wardrode, 1 queen size bed
(c) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message","CHAT WITH US FOR LATEST UPDATE

https://app.easyrenz.com/site/ktmalaysia?ref=Wanderlust "
2,"ROOM 2 
Pantai Hillpark Phase 2 Block 2, Jalan Pantai Murni 1",Minimum 6 months & above,RM900,1.5-month refundable security & utility deposit (RM1350),Room,https://youtube.com/shorts/62hcwCQ8heI?feature=share,"ROOM 2 (6 months onwards)
(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Room with shared bathroom and equipped with Air-conditioning & Ceiling fan, study table & chair, wardrode, 1 queen size bed
(c) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message
(d) To secure the booking of the unit, tenants need to pay Refundable Security & Utility Deposit, 1st month Advance Rental, Tenancy, Disbursement, Stamping, Administration Fees, Service Fees","CHAT WITH US FOR LATEST UPDATE

https://app.easyrenz.com/site/ktmalaysia?ref=Wanderlust "
3,"ROOM 3
Pantai Hillpark Phase 2 Block 2, Jalan Pantai Murni 1",Minimum 6 months & above,RM800,1.5-month refundable security & utility deposit (RM1200),Room,https://youtube.com/shorts/wNt4uw1DbKY?feature=share,"ROOM 3 (6 months onwards)
(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Room with shared bathroom and equipped with Air-conditioning & Ceiling fan, study table & chair, wardrode, 1 queen size bed
(c) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message
(d) To secure the booking of the unit, tenants need to pay Refundable Security & Utility Deposit, 1st month Advance Rental, Tenancy, Disbursement, Stamping, Administration Fees, Service Fees","CHAT WITH US FOR LATEST UPDATE

https://app.easyrenz.com/site/ktmalaysia?ref=Wanderlust "
4,"ROOM 4
Pantai Hillpark Phase 2 Block 2, Jalan Pantai Murni 1",Minimum 6 months & above,"RM1,000",1.5-month refundable security & utility deposit (RM1500),Room,https://youtube.com/shorts/gZ12Bir9QJ4?feature=share,"ROOM 4 (6 months onwards)
(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Room with shared bathroom and equipped with Air-conditioning & Ceiling fan, study table & chair, wardrode, 1 queen size bed
(c) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message
(d) To secure the booking of the unit, tenants need to pay Refundable Security & Utility Deposit, 1st month Advance Rental, Tenancy, Disbursement, Stamping, Administration Fees, Service Fees","CHAT WITH US FOR LATEST UPDATE

https://app.easyrenz.com/site/ktmalaysia?ref=Wanderlust "
5,"ROOM 5
Pantai Hillpark Phase 2 Block 2, Jalan Pantai Murni 1",Minimum 6 months & above,RM800,1.5-month refundable security & utility deposit (RM1200),Room,https://youtube.com/shorts/PBTXA_a2KW0?feature=share,"ROOM 5 (6 months onwards)
(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Room with shared bathroom and equipped with Air-conditioning & Ceiling fan, study table & chair, wardrode, 1 queen size bed
(c) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message
(d) To secure the booking of the unit, tenants need to pay Refundable Security & Utility Deposit, 1st month Advance Rental, Tenancy, Disbursement, Stamping, Administration Fees, Service Fees","CHAT WITH US FOR LATEST UPDATE

https://app.easyrenz.com/site/ktmalaysia?ref=Wanderlust "
6,Komune Living Thinker Studio (1 Super Single Bed),Flexible rental Duration,"RM2,350",1-month refundable security rental deposit (RM2350),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
7,Komune Living Thinker Studio Two (1 Queen Size Bed),Flexible rental Duration,"RM2,650",1-month refundable security rental deposit (RM2650),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
8,Komune Living Dreamer Studio (1 Queen Size Bed),Flexible rental Duration,"RM2,650",1-month refundable security rental deposit (RM2650),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
9,"Komune Living Dreamer One Plus (1 Queen Size Bed + 1 living room)

",Flexible rental Duration,"RM3,550",1-month refundable security rental deposit (RM3550),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
10,"Komune Living Artist Studio Loft (1 Queen Size Bed + 1 Super Single Bed)

",Flexible rental Duration,"RM3,150",1-month refundable security rental deposit (RM3150),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
11,"Komune Living Artist One Plus Loft(2 Queen Size Beds + 1 living room)

",Flexible rental Duration,"RM5,350",1-month refundable security rental deposit (RM5350),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
12,"Komune Living Thinker Two Type 1 (1 Queen Size Bed + 1 Super Single Bed)

",Flexible rental Duration,"RM3,950",1-month refundable security rental deposit (RM3950),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
13,"Komune Living Thinker Two Type 2 (1 Queen Size Beds)

",Flexible rental Duration,"RM4,350",1-month refundable security rental deposit (RM4350),House/ Whole Unit Apartment,https://drive.google.com/file/d/1d4wFsQDkpseSJHp_mSk4Juo-PlqWKgnw/view?usp=share_link,"Room Features: Free WiFi, 42”LED TV with IPTV, In-room safe, Mini Fridge
Room Amenities: Air-condition, Bidet, Hairdryer, *Smoke Detectors (No Smoking!)*

Komune Living Benefits & Privileges
• Wireless internet broadband access.
• Full access to co-living facilities located at Level 1 and Level 29 (co-living space, community 
kitchen, launderette, games base, level 1 alfresco area, infinity pool and gymnasium). 
• Bathroom amenity - 2 in 1 shower gel will be provided. 
• Monthly stay - Housekeeping services will be *One (1) time cleaning and changing of linen & towels in a week.*

Remarks:
1. Rates are subject to change without prior notice. 
2. Prevailing daily rate will only apply for Extension Stay of less than One (1) month.
3. Breakfast is chargeable at RM450.00+ per month per person.
4. Rates are subjected to 6% Service Tax and Tourism Tax (RM10 per night)
",CHAT WITH US FOR LATEST UPDATE
14,"ROOM 3
Pantai Hillpark Phase 2 - About 3.5KM Away from campus. 
(https://goo.gl/maps/gxzNEU7t8p3SSAMy5)",Minimum 6 months & above,RM600,1.5-month refundable security & utility deposit (RM900),https://youtube.com/shorts/wNt4uw1DbKY?feature=share ,"Living Hall https://youtube.com/shorts/bkmBzYiVbbU?feature=share 

Overview: https://drive.google.com/file/d/1qxVIthvsogxq2lrrfKSr7YuTiuHT1TUg/view?usp=share_link ","(K) ROOM 3 (Medium Bedroom with Shared Bathroom)
Room with Shared bathroom and equipped with Air-conditioning & ceiling fan, study table & chair, wardrobe, 1 queen size bed

(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message",
15,"ROOM 4
Pantai Hillpark Phase 2 - About 3.5KM Away from campus. 
(https://goo.gl/maps/gxzNEU7t8p3SSAMy5)",Minimum 6 months & above,RM800,1.5-month refundable security & utility deposit (RM1200),https://youtube.com/shorts/gZ12Bir9QJ4?feature=share ,"Living Hall https://youtube.com/shorts/bkmBzYiVbbU?feature=share 

Overview: https://drive.google.com/file/d/1qxVIthvsogxq2lrrfKSr7YuTiuHT1TUg/view?usp=share_link ","(K) ROOM 4 (Medium Bedroom with Shared Bathroom with Balcony)
Room with Shared bathroom and equipped with Air-conditioning & ceiling fan, study table & chair, wardrobe, 1 queen size bed

(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message",
16,"ROOM 5
Pantai Hillpark Phase 2 - About 3.5KM Away from campus. 
(https://goo.gl/maps/gxzNEU7t8p3SSAMy5)",Minimum 6 months & above,RM700,1.5-month refundable security & utility deposit (RM1050),https://youtube.com/shorts/PBTXA_a2KW0?feature=share ,"Living Hall https://youtube.com/shorts/bkmBzYiVbbU?feature=share 

Overview: https://drive.google.com/file/d/1qxVIthvsogxq2lrrfKSr7YuTiuHT1TUg/view?usp=share_link ","(K) ROOM 5 (Medium Bedroom with Shared Bathroom)
Room with Shared bathroom and equipped with Air-conditioning & ceiling fan, study table & chair, wardrobe, 1 queen size bed

(a) Free Water, Wifi, Housekeeping and Maintenance but electricity bill is based on usage; 
(b) Tenancy, Disbursement, Stamping, Administration Fees, Service Fees will be informed through direct message",
